name,smarts,S_k,S_t,S_e,depth,n_atoms
daylight_examples.smarts_96,[NX3+]=[CX3],0.0,0.3333333333333333,0.7777777777777777,3,2
daylight_examples.smarts_97,[CX3](=[OX1])[NX3H][CX3](=[OX1]),0.1111111111111111,0.3333333333333333,0.7757201646090535,9,5
daylight_examples.smarts_98,[CX3](=[OX1])[NX3H0]([#6])[CX3](=[OX1]),0.13636363636363635,0.31313131313131315,0.7720414016710313,11,6
daylight_examples.smarts_99,[CX3](=[OX1])[NX3H0]([NX3H0]([CX3](=[OX1]))[CX3](=[OX1]))[CX3](=[OX1]),0.13157894736842105,0.3521767381416504,0.7631494271929378,19,10
daylight_examples.smarts_100,"[$([NX3](=[OX1])(=[OX1])O),$([NX3+]([OX1-])(=[OX1])O)]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_101,"[$([OX1]=[NX3](=[OX1])[OX1-]),$([OX1]=[NX3+]([OX1-])[OX1-])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_102,[NX1]#[CX2],0.0,0.0,0.9814814814814814,3,2
daylight_examples.smarts_103,[CX1-]#[NX2+],0.0,0.0,0.9814814814814814,3,2
daylight_examples.smarts_104,"[$([NX3](=O)=O),$([NX3+](=O)[O-])][!#8]",0.16666666666666666,0.0,0.7777777777777777,3,2
daylight_examples.smarts_105,"[$([NX3](=O)=O),$([NX3+](=O)[O-])][!#8].[$([NX3](=O)=O),$([NX3+](=O)[O-])][!#8]",0.16666666666666666,0.0,0.8271604938271604,6,4
daylight_examples.smarts_106,[NX2]=[OX1],0.0,0.3333333333333333,0.7777777777777777,3,2
daylight_examples.smarts_107,"[$([#7+][OX1-]),$([#7v5]=[OX1]);!$([#7](~[O])~[O]);!$([#7]=[#7])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_108,[OX2H],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_109,[#6][OX2H],0.16666666666666666,0.0,0.7777777777777777,3,2
daylight_examples.smarts_110,[OX2H][CX3]=[OX1],0.1,0.26666666666666666,0.7814814814814814,5,3
daylight_examples.smarts_111,[OX2H]P,0.16666666666666666,0.0,0.7777777777777777,3,2
daylight_examples.smarts_112,[OX2H][#6X3]=[#6],0.1,0.26666666666666666,0.7814814814814814,5,3
daylight_examples.smarts_113,[OX2H][cX3]:[c],0.1,0.5407407407407407,0.43333333333333335,5,3
daylight_examples.smarts_114,"[OX2H][$(C=C),$(cc)]",0.16666666666666666,0.0,0.7777777777777777,3,2
daylight_examples.smarts_115,[$([OH]-*=[!#6])],0.0,0.6666666666666666,0.0,1,1
