atlas_id,name,type,S_k,S_t,S_e,trit_depth,gateway_trit,n_oscillators
FP_0175,daylight_examples.smarts_178,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0176,daylight_examples.smarts_179,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0177,daylight_examples.smarts_180,molecular,0.16666666666666666,0.0,0.7777777777777777,3.0,2.0,
FP_0178,daylight_examples.smarts_181,molecular,0.0,0.7222222222222222,0.0,2.0,1.0,
FP_0179,daylight_examples.smarts_182,molecular,0.14285714285714285,0.455026455026455,0.5873015873015872,7.0,2.0,
FP_0180,daylight_examples.smarts_183,molecular,0.1111111111111111,0.5267489711934157,0.5555555555555556,9.0,2.0,
FP_0181,daylight_examples.smarts_184,molecular,0.09090909090909091,0.5680675063391113,0.5353535353535354,11.0,2.0,
FP_0182,daylight_examples.smarts_185,molecular,0.16666666666666666,0.0,0.7777777777777777,3.0,2.0,
FP_0183,daylight_examples.smarts_186,molecular,0.16666666666666666,0.0,0.7777777777777777,3.0,2.0,
FP_0184,daylight_examples.smarts_187,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0185,daylight_examples.smarts_188,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0186,daylight_examples.smarts_189,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0187,daylight_examples.smarts_190,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0188,daylight_examples.smarts_191,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0189,daylight_examples.smarts_192,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0190,daylight_examples.smarts_193,molecular,0.2222222222222222,0.0,0.7757201646090535,9.0,2.0,
FP_0191,daylight_examples.smarts_194,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0192,daylight_examples.smarts_195,molecular,0.14285714285714285,0.23809523809523808,0.7795414462081128,7.0,2.0,
FP_0193,daylight_examples.smarts_196,molecular,0.14285714285714285,0.23809523809523808,0.7795414462081128,7.0,2.0,
FP_0194,daylight_examples.smarts_197,molecular,0.0,0.7499957662280479,0.0,12.0,1.0,
FP_0195,daylight_examples.smarts_198,molecular,0.0,0.7499957662280479,0.0,24.0,1.0,
FP_0196,daylight_examples.smarts_199,molecular,0.0,0.7499957662280479,0.0,21.0,1.0,
FP_0197,daylight_examples.smarts_200,molecular,0.18181818181818182,0.2121212121212121,0.7720414016710313,11.0,2.0,
FP_0198,daylight_examples.smarts_201,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0199,daylight_examples.smarts_202,molecular,0.21875,0.19791666666666666,0.749923792104862,16.0,2.0,
FP_0200,daylight_examples.smarts_203,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0201,daylight_examples.smarts_204,molecular,0.18181818181818182,0.2121212121212121,0.7720414016710313,11.0,2.0,
FP_0202,daylight_examples.smarts_205,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0203,daylight_examples.smarts_206,molecular,0.19230769230769232,0.20512820512820512,0.7690021455453554,13.0,2.0,
FP_0204,daylight_examples.smarts_207,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0205,daylight_examples.smarts_208,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0206,daylight_examples.smarts_209,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0207,daylight_examples.smarts_210,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0208,daylight_examples.smarts_212,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0209,daylight_examples.smarts_213,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0210,daylight_examples.smarts_214,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0211,daylight_examples.smarts_215,molecular,0.16666666666666666,0.0,0.7777777777777777,3.0,2.0,
FP_0212,daylight_examples.smarts_216,molecular,0.16666666666666666,0.0,0.7777777777777777,3.0,0.0,
FP_0213,daylight_examples.smarts_217,molecular,0.16666666666666666,0.0,0.8271604938271604,6.0,2.0,
FP_0214,daylight_examples.smarts_218,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0215,daylight_examples.smarts_219,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0216,daylight_examples.smarts_220,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0217,daylight_examples.smarts_224,molecular,0.0,0.7222222222222222,0.0,2.0,1.0,
FP_0218,daylight_examples.smarts_225,molecular,0.16666666666666666,0.0,0.7777777777777777,3.0,2.0,
FP_0219,daylight_examples.smarts_226,molecular,0.16666666666666666,0.0,0.7777777777777777,3.0,0.0,
FP_0220,daylight_examples.smarts_227,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0221,daylight_examples.smarts_228,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0222,daylight_examples.smarts_229,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0223,daylight_examples.smarts_230,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0224,daylight_examples.smarts_231,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0225,daylight_examples.smarts_232,molecular,0.1,0.26666666666666666,0.7814814814814814,5.0,0.0,
FP_0226,daylight_examples.smarts_233,molecular,0.1,0.26666666666666666,0.7814814814814814,5.0,2.0,
FP_0227,daylight_examples.smarts_234,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0228,daylight_examples.smarts_235,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0229,daylight_examples.smarts_236,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0230,daylight_examples.smarts_237,molecular,0.1,0.26666666666666666,0.7814814814814814,5.0,2.0,
FP_0231,daylight_examples.smarts_238,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0232,daylight_examples.smarts_239,molecular,0.0,0.3333333333333333,0.7777777777777777,3.0,2.0,
FP_0233,daylight_examples.smarts_240,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0234,daylight_examples.smarts_241,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0235,daylight_examples.smarts_242,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0236,daylight_examples.smarts_243,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0237,daylight_examples.smarts_244,molecular,0.21428571428571427,0.0,0.7795414462081128,7.0,2.0,
FP_0238,daylight_examples.smarts_245,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0239,daylight_examples.smarts_247,molecular,0.0,0.3333333333333333,0.7777777777777777,3.0,2.0,
FP_0240,daylight_examples.smarts_248,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0241,daylight_examples.smarts_249,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
